


      Monthly sea levels for SAMOA
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        8 2008     0     7440      0.202      1.466      0.797     0.304
        9 2008     0     7200      0.199      1.352      0.766     0.303
       10 2008     0     7440      0.194      1.382      0.753     0.288
       11 2008     0     7200      0.148      1.437      0.765     0.285
       12 2008     0     7440      0.111      1.455      0.784     0.288
        1 2009     0     7440      0.122      1.543      0.808     0.290
        2 2009     0     6720      0.092      1.519      0.797     0.305
        3 2009     0     7440      0.210      1.465      0.840     0.297
        4 2009     0     7200      0.268      1.432      0.822     0.295
        5 2009     0     7440      0.141      1.365      0.782     0.288
        6 2009     0     7200      0.080      1.439      0.763     0.295
        7 2009     0     7440      0.168      1.548      0.812     0.294
        8 2009     0     7440      0.079      1.513      0.788     0.301
        9 2009     0     7200      0.174      1.463      0.815     0.291
       10 2009     0     7440      0.179      1.402      0.773     0.297
       11 2009     0     7200      0.175      1.317      0.760     0.288
       12 2009     0     7440      0.148      1.392      0.756     0.297
        1 2010     0     7440      0.070      1.474      0.767     0.310
        2 2010     0     6720     -0.381      1.607      0.712     0.304
        3 2010     0     7440     -0.071      1.463      0.693     0.319
        4 2010     0     7200      0.115      1.410      0.717     0.302
        5 2010  4562     2878      0.254      1.301      0.755     0.297
        6 2010  6750      450      0.492      1.195      0.859     0.215
        7 2010  6980      460      0.515      1.151      0.821     0.201
        8 2010  7230      210      0.590      1.144      0.869     0.180
        9 2010  6933      267      0.482      1.185      0.852     0.213
       10 2010     0     7440      0.211      1.609      0.869     0.297
       11 2010     0     7200      0.234      1.533      0.850     0.302
       12 2010     0     7440      0.318      1.484      0.895     0.295
        1 2011     0     7440      0.341      1.633      0.924     0.297
        2 2011     0     6720      0.290      1.681      0.938     0.304
        3 2011  5228     2212      0.464      1.395      0.952     0.259
        4 2011     0     7200      0.293      1.707      0.958     0.307
        5 2011   266     7174      0.260      1.567      0.925     0.291
        6 2011  3312     3888      0.292      1.556      0.914     0.312
        7 2011     0     7440      0.279      1.529      0.905     0.305
        8 2011  1442     5998      0.295      1.553      0.923     0.299
        9 2011     0     7200      0.294      1.633      0.910     0.309
       10 2011     0     7440      0.221      1.667      0.909     0.310
       11 2011     0     7200      0.204      1.603      0.875     0.305
       12 2011     0     7440      0.288      1.631      0.897     0.306
        1 2012     0     7440      0.297      1.541      0.916     0.296
        2 2012     0     6960      0.299      1.540      0.909     0.303
        3 2012     0     7440      0.285      1.588      0.914     0.302
        4 2012     0     7200      0.230      1.604      0.908     0.306
        5 2012     0     7440      0.272      1.651      0.933     0.316
        6 2012     0     7200      0.177      1.549      0.842     0.313
        7 2012     0     7440      0.197      1.561      0.883     0.324
        8 2012     0     7440      0.211      1.539      0.860     0.318
        9 2012     0     7200      0.288      1.483      0.878     0.310
       10 2012     0     7440      0.205      1.576      0.889     0.309
       11 2012     0     7200      0.148      1.613      0.873     0.306
       12 2012     0     7440      0.128      1.737      0.835     0.310
        1 2013     0     7440      0.141      1.559      0.833     0.308
        2 2013     0     6720      0.088      1.489      0.798     0.320
        3 2013     0     7440      0.213      1.480      0.816     0.314
        4 2013     0     7200      0.231      1.510      0.856     0.312
        5 2013     0     7440      0.220      1.549      0.859     0.312
        6 2013     0     7200      0.219      1.633      0.904     0.308
        7 2013     0     7440      0.227      1.668      0.913     0.301
        8 2013     0     7440      0.185      1.607      0.885     0.304
        9 2013     0     7200      0.289      1.619      0.906     0.311
       10 2013     0     7440      0.327      1.539      0.900     0.309
       11 2013     0     7200      0.281      1.520      0.888     0.301
       12 2013     0     7440      0.237      1.578      0.860     0.310
        1 2014     0     7440      0.139      1.665      0.854     0.326
        2 2014     0     6720      0.154      1.621      0.889     0.308
        3 2014     0     7440      0.100      1.616      0.849     0.333
        4 2014     0     7200      0.169      1.466      0.813     0.314
        5 2014     0     7440      0.209      1.418      0.783     0.301
        6 2014     0     7200      0.184      1.466      0.807     0.294
        7 2014     0     7440      0.214      1.615      0.907     0.305
        8 2014     0     7440      0.178      1.652      0.905     0.307
        9 2014     0     7200      0.252      1.689      0.936     0.314
       10 2014     0     7440      0.291      1.633      0.940     0.308
       11 2014     0     7200      0.314      1.585      0.910     0.311
       12 2014     0     7440      0.271      1.513      0.885     0.305
        1 2015     0     7440      0.198      1.634      0.887     0.319
        2 2015     0     6720      0.178      1.690      0.891     0.324
        3 2015     0     7440      0.246      1.671      0.919     0.306
        4 2015     0     7200      0.276      1.602      0.914     0.306
        5 2015     0     7440      0.345      1.553      0.917     0.293
        6 2015     0     7200      0.349      1.501      0.914     0.289
        7 2015     0     7440      0.321      1.663      0.933     0.302
        8 2015     0     7440      0.221      1.655      0.950     0.321
        9 2015     0     7200      0.280      1.680      0.921     0.316
       10 2015     0     7440      0.213      1.632      0.922     0.316
       11 2015     0     7200      0.291      1.663      0.916     0.305
       12 2015     0     7440      0.247      1.569      0.882     0.308
        1 2016     0     7440      0.203      1.477      0.825     0.302
        2 2016     0     6960      0.167      1.544      0.838     0.322
        3 2016     0     7440      0.087      1.493      0.791     0.322
        4 2016     0     7200      0.163      1.574      0.847     0.320
        5 2016     0     7440      0.107      1.434      0.760     0.317
        6 2016     0     7200      0.169      1.541      0.823     0.319
        7 2016     0     7440      0.207      1.524      0.862     0.312
        8 2016     0     7440      0.326      1.574      0.900     0.314
        9 2016     0     7200      0.221      1.595      0.897     0.309
       10 2016     0     7440      0.351      1.690      0.984     0.304
       11 2016     0     7200      0.320      1.682      0.976     0.298
       12 2016     0     7440      0.271      1.742      0.998     0.308
        1 2017     0     7440      0.366      1.703      1.016     0.311
        2 2017     0     6720      0.316      1.669      0.976     0.311
        3 2017     0     7440      0.414      1.670      0.985     0.316
        4 2017     0     7200      0.271      1.634      0.951     0.312
        5 2017     0     7440      0.225      1.626      0.908     0.306
        6 2017     0     7200      0.208      1.597      0.913     0.302
        7 2017     0     7440      0.250      1.599      0.895     0.297
        8 2017     0     7440      0.254      1.580      0.895     0.295
        9 2017     0     7200      0.349      1.535      0.922     0.302
       10 2017     0     7440      0.334      1.551      0.938     0.305
       11 2017     0     7200      0.294      1.637      0.955     0.304
       12 2017     0     7440      0.298      1.683      0.956     0.307
        1 2018     0     7440      0.249      1.725      0.942     0.321
        2 2018     0     6720      0.222      1.671      0.933     0.312
        3 2018     0     7440      0.232      1.637      0.955     0.314
        4 2018     0     7200      0.410      1.544      0.957     0.297
        5 2018     0     7440      0.271      1.556      0.924     0.301
        6 2018     0     7200      0.345      1.681      0.975     0.289
        7 2018  3333     4107      0.312      1.663      0.968     0.321
        8 2018  5027     2413      0.505      1.479      0.973     0.280
        9 2018     0     7200      0.264      1.691      0.977     0.302
       10 2018     0     7440      0.335      1.631      0.965     0.299
       11 2018     0     7200      0.390      1.550      0.948     0.301
       12 2018     0     7440      0.374      1.680      0.988     0.300
        1 2019     0     7440      0.345      1.741      1.028     0.308
        2 2019     0     6720      0.340      1.841      1.046     0.316
        3 2019     0     7440      0.365      1.773      1.017     0.300
        4 2019     0     7200      0.443      1.740      1.067     0.293
        5 2019     0     7440      0.376      1.591      1.017     0.286
        6 2019     0     7200      0.424      1.604      1.026     0.291
        7 2019     0     7440      0.357      1.677      1.026     0.304
        8 2019     0     7440      0.278      1.767      1.024     0.319
