


      Monthly sea levels for TONGA
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        2 2007     0     6720      0.316      1.800      1.096     0.366
        3 2007     0     7440      0.301      1.858      1.059     0.369
        4 2007     0     7200      0.228      1.839      1.009     0.365
        5 2007     0     7440      0.214      1.821      1.039     0.363
        6 2007     0     7200      0.201      1.751      0.986     0.367
        7 2007     0     7440      0.263      1.738      1.024     0.371
        8 2007     0     7440      0.294      1.713      1.021     0.381
        9 2007     0     7200      0.212      1.823      1.013     0.382
       10 2007     0     7440      0.238      1.918      1.062     0.379
       11 2007     0     7200      0.267      1.947      1.117     0.379
       12 2007     0     7440      0.251      1.865      1.068     0.368
        1 2008     0     7440      0.278      1.776      1.075     0.360
        2 2008     0     6960      0.390      1.751      1.064     0.365
        3 2008     0     7440      0.379      1.782      1.099     0.357
        4 2008     0     7200      0.314      1.848      1.063     0.369
        5 2008     0     7440      0.244      1.886      1.036     0.374
        6 2008     0     7200      0.190      1.823      1.052     0.382
        7 2008     0     7440      0.172      1.806      1.016     0.383
        8 2008     0     7440      0.307      1.822      1.069     0.382
        9 2008     0     7200      0.419      1.785      1.093     0.367
       10 2008     0     7440      0.286      1.802      1.057     0.363
       11 2008     0     7200      0.237      1.863      1.064     0.367
       12 2008     0     7440      0.297      1.972      1.143     0.369
        1 2009     0     7440      0.359      2.053      1.161     0.379
        2 2009     0     6720      0.290      1.886      1.090     0.379
        3 2009     0     7440      0.386      1.828      1.130     0.376
        4 2009     0     7200      0.379      1.889      1.107     0.377
        5 2009     0     7440      0.174      1.763      1.038     0.382
        6 2009     0     7200      0.079      1.728      0.973     0.384
        7 2009     0     7440      0.223      1.879      1.077     0.381
        8 2009     0     7440      0.284      1.874      1.063     0.373
        9 2009     0     7200      0.342      1.812      1.072     0.370
       10 2009     0     7440      0.319      1.748      1.022     0.370
       11 2009     0     7200      0.223      1.670      1.016     0.374
       12 2009     0     7440      0.232      1.793      1.047     0.381
        1 2010     0     7440      0.161      1.942      1.076     0.391
        2 2010     0     6720      0.250      2.124      1.074     0.377
        3 2010     0     7440      0.281      1.929      1.108     0.386
        4 2010     0     7200      0.350      1.846      1.057     0.374
        5 2010     0     7440      0.317      1.748      1.030     0.370
        6 2010     0     7200      0.179      1.639      0.968     0.367
        7 2010     0     7440      0.223      1.791      0.975     0.374
        8 2010     0     7440      0.045      1.687      0.936     0.379
        9 2010     0     7200      0.216      1.820      0.988     0.383
       10 2010     0     7440      0.228      1.810      0.996     0.387
       11 2010     0     7200      0.196      1.737      0.960     0.386
       12 2010     0     7440      0.218      1.751      1.009     0.389
        1 2011     0     7440      0.342      1.865      1.087     0.381
        2 2011     0     6720      0.281      1.877      1.040     0.388
        3 2011   994     6446      0.151      1.922      1.078     0.379
        4 2011     0     7200      0.303      1.971      1.090     0.379
        5 2011   508     6932      0.272      1.872      1.064     0.377
        6 2011     0     7200      0.266      1.762      1.029     0.379
        7 2011     0     7440      0.259      1.748      1.007     0.387
        8 2011     0     7440      0.305      1.882      1.076     0.401
        9 2011     0     7200      0.238      1.946      1.049     0.404
       10 2011     0     7440      0.223      1.890      1.052     0.398
       11 2011     0     7200      0.256      1.903      1.087     0.389
       12 2011     0     7440      0.341      1.883      1.111     0.379
        1 2012     0     7440      0.409      1.845      1.136     0.378
        2 2012     0     6960      0.373      2.029      1.139     0.394
        3 2012     0     7440      0.386      1.906      1.152     0.379
        4 2012     0     7200      0.390      2.007      1.182     0.376
        5 2012     0     7440      0.247      1.895      1.108     0.385
        6 2012     0     7200      0.261      1.865      1.087     0.390
        7 2012     0     7440      0.298      1.885      1.076     0.394
        8 2012     0     7440      0.316      1.845      1.027     0.390
        9 2012     0     7200      0.376      1.832      1.077     0.386
       10 2012     0     7440      0.249      1.861      1.082     0.386
       11 2012     0     7200      0.228      1.919      1.114     0.387
       12 2012     0     7440      0.281      1.974      1.134     0.385
        1 2013     0     7440      0.358      1.947      1.176     0.385
        2 2013     0     6720      0.402      1.876      1.137     0.386
        3 2013     0     7440      0.365      1.854      1.066     0.389
        4 2013     0     7200      0.303      1.786      1.046     0.386
        5 2013     0     7440      0.215      1.842      1.016     0.390
        6 2013     2     7198      0.166      1.837      1.061     0.394
        7 2013   540     6900      0.237      1.932      1.045     0.391
        8 2013     0     7440      0.219      1.755      0.995     0.384
        9 2013     0     7200      0.311      1.750      0.996     0.385
       10 2013     0     7440      0.331      1.741      1.037     0.379
       11 2013     0     7200      0.321      1.835      1.097     0.390
       12 2013     0     7440      0.280      1.892      1.103     0.392
        1 2014     0     7440      0.250      1.978      1.100     0.406
        2 2014     0     6720      0.317      2.010      1.176     0.390
        3 2014     0     7440      0.326      2.146      1.154     0.406
        4 2014     0     7200      0.348      1.811      1.102     0.386
        5 2014     0     7440      0.364      1.908      1.077     0.386
        6 2014     0     7200      0.230      1.831      1.055     0.386
        7 2014     0     7440      0.266      1.965      1.048     0.386
        8 2014     0     7440      0.172      1.789      0.994     0.388
        9 2014     0     7200      0.254      1.843      1.024     0.390
       10 2014     0     7440      0.215      1.767      1.001     0.395
       11 2014     0     7200      0.325      1.850      1.069     0.400
       12 2014     0     7440      0.108      1.695      0.906     0.406
        1 2015     0     7440      0.271      1.891      1.083     0.395
        2 2015     0     6720      0.205      1.871      1.029     0.400
        3 2015     0     7440      0.240      2.010      1.009     0.399
        4 2015     0     7200      0.255      1.843      1.030     0.385
        5 2015     0     7440      0.163      1.733      0.982     0.378
        6 2015     0     7200      0.255      1.764      0.998     0.391
        7 2015     0     7440      0.219      1.702      0.928     0.395
        8 2015     0     7440      0.095      1.779      0.961     0.407
        9 2015     0     7200      0.119      1.793      0.981     0.411
       10 2015     0     7440      0.110      1.782      0.951     0.405
       11 2015     0     7200      0.218      1.856      1.002     0.392
       12 2015     0     7440      0.336      1.842      1.073     0.388
        1 2016     0     7440      0.288      1.807      1.057     0.387
        2 2016     0     6960      0.298      1.873      1.086     0.399
        3 2016     0     7440      0.228      1.840      1.019     0.396
        4 2016     0     7200      0.100      1.823      1.004     0.400
        5 2016     0     7440      0.165      1.856      1.017     0.394
        6 2016     0     7200      0.140      1.830      1.063     0.396
        7 2016     0     7440      0.275      1.836      1.081     0.397
        8 2016     0     7440      0.365      1.874      1.108     0.393
        9 2016     0     7200      0.293      1.831      1.065     0.389
       10 2016     0     7440      0.220      1.899      1.057     0.395
       11 2016     0     7200      0.168      1.915      1.059     0.392
       12 2016     0     7440      0.071      1.836      1.011     0.395
        1 2017     0     7440      0.207      1.814      1.035     0.391
        2 2017     0     6720      0.359      1.892      1.094     0.389
        3 2017     0     7440      0.411      1.887      1.134     0.395
        4 2017     0     7200      0.247      1.880      1.111     0.396
        5 2017     0     7440      0.155      1.855      1.026     0.400
        6 2017     0     7200      0.139      1.913      1.021     0.402
        7 2017     0     7440      0.152      1.805      0.971     0.396
        8 2017     0     7440      0.254      1.820      1.009     0.388
        9 2017     0     7200      0.282      1.683      0.998     0.389
       10 2017     0     7440      0.246      1.720      0.997     0.384
       11 2017     0     7200      0.251      1.858      1.100     0.392
       12 2017     0     7440      0.271      1.997      1.118     0.398
        1 2018     0     7440      0.231      1.956      1.106     0.399
        2 2018     0     6720      0.243      1.926      1.114     0.387
        3 2018     0     7440      0.364      1.888      1.164     0.393
        4 2018     0     7200      0.345      1.838      1.084     0.382
        5 2018   322     7118      0.248      1.810      1.042     0.380
        6 2018     0     7200      0.266      1.896      1.093     0.382
        7 2018     0     7440      0.234      1.913      1.060     0.382
        8 2018     0     7440      0.251      1.944      1.075     0.381
        9 2018     0     7200      0.220      1.821      1.062     0.391
       10 2018     0     7440      0.322      1.792      1.047     0.393
       11 2018     0     7200      0.323      1.838      1.112     0.397
       12 2018     0     7440      0.273      1.907      1.140     0.396
        1 2019     0     7440      0.262      1.978      1.151     0.392
        2 2019     0     6720      0.287      1.968      1.181     0.394
        3 2019     0     7440      0.327      1.933      1.145     0.386
        4 2019     0     7200      0.397      1.865      1.150     0.372
        5 2019     0     7440      0.350      1.743      1.070     0.369
        6 2019     0     7200      0.282      1.720      1.012     0.374
        7 2019     0     7440      0.217      1.803      1.035     0.385
        8 2019     0     7440      0.173      1.846      1.059     0.398
        9 2019     0     7200      0.196      1.952      1.082     0.403
       10 2019     0     7440      0.333      1.921      1.099     0.398
       11 2019     0     7200      0.346      1.877      1.109     0.380
       12 2019     0     7440      0.447      1.914      1.160     0.382
        1 2020     0     7440      0.367      2.019      1.132     0.377
        2 2020     0     6960      0.345      1.961      1.171     0.379
        3 2020     0     7440      0.361      1.980      1.150     0.372
        4 2020     0     7200      0.384      2.449      1.119     0.382
        5 2020     0     7440      0.318      1.875      1.093     0.376
        6 2020     0     7200      0.343      1.871      1.076     0.384
        7 2020     0     7440      0.328      1.779      1.081     0.382
        8 2020     0     7440      0.383      1.884      1.118     0.380
        9 2020     0     7200      0.359      1.900      1.119     0.380
       10 2020     0     7440      0.336      2.033      1.137     0.374
       11 2020     0     7200      0.349      1.986      1.154     0.373
       12 2020     0     7440      0.443      2.027      1.190     0.376
        1 2021     0     7440      0.368      1.847      1.138     0.375
        2 2021     0     6720      0.439      1.931      1.162     0.384
        3 2021     1     7439      0.357      1.933      1.115     0.392
        4 2021     0     7200      0.286      1.952      1.125     0.387
        5 2021  1034     6406      0.269      1.931      1.081     0.379
        6 2021  3382     3818      0.243      1.872      1.100     0.425
        7 2021     0     7440      0.388      1.874      1.115     0.370
        8 2021     1     7439      0.353      1.814      1.069     0.371
        9 2021     4     7196      0.372      1.762      1.062     0.368
       10 2021     0     7440      0.349      1.867      1.088     0.367
       11 2021     0     7200      0.339      1.910      1.140     0.374
       12 2021     0     7440      0.357      2.009      1.168     0.382
        1 2022   458     6982      0.346      2.715      1.203     0.393
        2 2022     0     6720      0.401      1.954      1.174     0.377
        3 2022     5     7435      0.364      1.823      1.138     0.383
        4 2022     0     7200      0.455      1.904      1.185     0.375
        5 2022     1     7439      0.313      1.875      1.123     0.373
        6 2022     0     7200      0.285      1.892      1.131     0.370
        7 2022     0     7440      0.342      1.947      1.135     0.371
        8 2022   658     6782      0.325      1.959      1.157     0.365
        9 2022     0     7200      0.457      1.899      1.179     0.373
       10 2022     0     7440      0.509      1.933      1.198     0.372
       11 2022     0     7200      0.436      1.918      1.203     0.374
       12 2022     0     7440      0.425      2.008      1.255     0.374
        1 2023     0     7440      0.403      2.022      1.273     0.363
        2 2023     1     6719      0.504      2.021      1.257     0.365
      Totals   39537  2604303

      Mean sea level =  1.026  (Average monthly means = 1.026)

      Maximum recorded level of  2.715 metres at 0454 hours 15/01/2022
      Minimum recorded level of -0.071 metres at 0230 hours 17/05/1995
      Standard deviation of the observations =  0.3954 metres 
      Skewness                               = -0.0094
