


      Monthly sea levels for FIJI
      ---------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        6 2014     0     7200      0.183      2.277      1.271     0.491
        7 2014     0     7440      0.151      2.380      1.256     0.494
        8 2014   523     6917      0.079      2.308      1.206     0.492
        9 2014     0     7200      0.135      2.309      1.235     0.500
       10 2014     0     7440      0.254      2.346      1.256     0.495
       11 2014     0     7200      0.276      2.262      1.238     0.496
       12 2014     0     7440      0.300      2.354      1.299     0.495
        1 2015     0     7440      0.168      2.367      1.329     0.496
        2 2015     0     6720      0.204      2.447      1.327     0.506
        3 2015     0     7440      0.209      2.353      1.300     0.500
        4 2015     0     7200      0.245      2.342      1.271     0.488
        5 2015     0     7440      0.169      2.200      1.232     0.487
        6 2015     0     7200      0.215      2.161      1.200     0.488
        7 2015     0     7440      0.209      2.259      1.191     0.494
        8 2015     0     7440      0.118      2.274      1.217     0.512
        9 2015     0     7200      0.209      2.348      1.254     0.511
       10 2015     0     7440      0.192      2.345      1.276     0.502
       11 2015     0     7200      0.300      2.484      1.347     0.492
       12 2015     0     7440      0.304      2.327      1.341     0.481
        1 2016     0     7440      0.236      2.176      1.241     0.480
        2 2016     0     6960      0.273      2.364      1.327     0.498
        3 2016     0     7440      0.174      2.270      1.258     0.488
        4 2016     0     7200      0.144      2.275      1.241     0.491
        5 2016     0     7440      0.050      2.204      1.139     0.487
        6 2016     0     7200      0.127      2.257      1.211     0.492
        7 2016     0     7440      0.216      2.238      1.230     0.495
        8 2016     0     7440      0.249      2.207      1.254     0.500
        9 2016     0     7200      0.289      2.280      1.280     0.500
       10 2016     0     7440      0.238      2.411      1.304     0.501
       11 2016     0     7200      0.139      2.383      1.299     0.495
       12 2016     0     7440      0.182      2.395      1.301     0.487
        1 2017     0     7440      0.185      2.319      1.296     0.490
        2 2017     0     6720      0.267      2.321      1.283     0.495
        3 2017     0     7440      0.302      2.214      1.246     0.502
        4 2017     0     7200      0.232      2.308      1.262     0.495
        5 2017     0     7440      0.127      2.326      1.288     0.490
        6 2017     0     7200      0.118      2.364      1.272     0.492
        7 2017     0     7440      0.183      2.346      1.262     0.484
        8 2017     0     7440      0.256      2.321      1.314     0.478
        9 2017     0     7200      0.358      2.213      1.324     0.479
       10 2017     0     7440      0.414      2.279      1.355     0.481
       11 2017     0     7200      0.294      2.352      1.345     0.486
       12 2017     0     7440      0.250      2.404      1.320     0.497
        1 2018     0     7440      0.088      2.447      1.327     0.512
        2 2018     0     6720      0.222      2.467      1.302     0.497
        3 2018     0     7440      0.185      2.431      1.321     0.510
        4 2018     0     7200      0.364      2.202      1.264     0.491
        5 2018     0     7440      0.259      2.234      1.247     0.478
        6 2018     0     7200      0.170      2.255      1.239     0.473
        7 2018     0     7440      0.185      2.377      1.278     0.480
        8 2018     0     7440      0.154      2.364      1.270     0.485
        9 2018     0     7200      0.213      2.314      1.307     0.489
       10 2018     0     7440      0.270      2.278      1.309     0.492
       11 2018     0     7200      0.279      2.299      1.309     0.497
       12 2018     0     7440      0.264      2.368      1.347     0.491
        1 2019     0     7440      0.151      2.377      1.338     0.490
        2 2019     0     6720      0.144      2.383      1.336     0.497
        3 2019     0     7440      0.200      2.345      1.292     0.481
        4 2019     0     7200      0.320      2.301      1.302     0.472
        5 2019     0     7440      0.294      2.201      1.257     0.468
        6 2019     0     7200      0.316      2.160      1.264     0.472
        7 2019     0     7440      0.239      2.239      1.265     0.480
        8 2019     0     7440      0.160      2.330      1.257     0.502
        9 2019     0     7200      0.196      2.333      1.269     0.499
       10 2019     0     7440      0.280      2.412      1.287     0.491
       11 2019     0     7200      0.328      2.353      1.330     0.477
